log_message,cpu,memory,disk,root_cause
Database connection timeout error,31.48,57.96,58.48,DATABASE_FAILURE
Database connection timeout error,36.09,56.48,49.34,DATABASE_FAILURE
Database server down unable to establish connection,28.61,51.07,51.4,DATABASE_FAILURE
PostgreSQL connection refused,28.3,59.5,54.4,DATABASE_FAILURE
Database connection pool exhausted,22.6,34.97,37.64,DATABASE_FAILURE
Database query execution failed due to connection issue,42.07,39.29,27.77,DATABASE_FAILURE
Database connection timeout error,35.52,32.62,26.35,DATABASE_FAILURE
Database connection pool exhausted,42.03,53.44,50.55,DATABASE_FAILURE
Database server down unable to establish connection,33.16,46.32,34.34,DATABASE_FAILURE
Database query execution failed due to connection issue,23.14,50.05,37.69,DATABASE_FAILURE
Database connection timeout error,31.52,51.91,39.34,DATABASE_FAILURE
Database connection timeout error,45.06,48.23,50.56,DATABASE_FAILURE
Database server down unable to establish connection,42.82,32.36,23.65,DATABASE_FAILURE
PostgreSQL connection refused,37.13,33.68,43.96,DATABASE_FAILURE
Database server down unable to establish connection,21.02,54.99,57.05,DATABASE_FAILURE
Database server down unable to establish connection,36.32,39.19,45.83,DATABASE_FAILURE
PostgreSQL connection refused,33.98,36.15,52.64,DATABASE_FAILURE
Database connection timeout error,39.35,49.45,59.82,DATABASE_FAILURE
Database connection pool exhausted,35.02,53.7,20.49,DATABASE_FAILURE
Database server down unable to establish connection,48.66,49.34,32.99,DATABASE_FAILURE
Database connection timeout error,24.16,38.44,30.01,DATABASE_FAILURE
Database server down unable to establish connection,39.58,41.42,40.75,DATABASE_FAILURE
PostgreSQL connection refused,31.22,58.14,38.64,DATABASE_FAILURE
Database server down unable to establish connection,42.86,31.92,34.42,DATABASE_FAILURE
Database server down unable to establish connection,28.41,46.88,35.52,DATABASE_FAILURE
Database connection timeout error,25.07,47.12,53.94,DATABASE_FAILURE
Database query execution failed due to connection issue,21.62,40.96,56.63,DATABASE_FAILURE
PostgreSQL connection refused,44.01,56.62,59.09,DATABASE_FAILURE
Database connection timeout error,25.42,53.04,43.53,DATABASE_FAILURE
Database query execution failed due to connection issue,37.12,55.57,26.75,DATABASE_FAILURE
Database connection timeout error,31.69,38.12,58.77,DATABASE_FAILURE
Database server down unable to establish connection,36.54,34.77,24.45,DATABASE_FAILURE
Database connection pool exhausted,45.01,52.27,32.69,DATABASE_FAILURE
Database query execution failed due to connection issue,38.27,51.53,22.6,DATABASE_FAILURE
Database query execution failed due to connection issue,48.13,58.33,33.99,DATABASE_FAILURE
Database query execution failed due to connection issue,46.62,57.49,42.08,DATABASE_FAILURE
Database connection pool exhausted,21.83,31.43,48.83,DATABASE_FAILURE
Database connection timeout error,20.42,43.4,55.72,DATABASE_FAILURE
Database connection timeout error,37.06,35.93,38.58,DATABASE_FAILURE
Database connection pool exhausted,46.04,48.93,20.43,DATABASE_FAILURE
Database server down unable to establish connection,21.98,59.42,28.3,DATABASE_FAILURE
Database connection timeout error,31.17,47.53,50.2,DATABASE_FAILURE
Database query execution failed due to connection issue,48.86,33.6,24.02,DATABASE_FAILURE
Database connection pool exhausted,38.68,36.21,38.5,DATABASE_FAILURE
PostgreSQL connection refused,30.4,45.63,31.85,DATABASE_FAILURE
Database server down unable to establish connection,28.26,31.03,21.93,DATABASE_FAILURE
Database server down unable to establish connection,29.66,53.07,59.52,DATABASE_FAILURE
Database connection timeout error,20.1,59.15,41.86,DATABASE_FAILURE
Database query execution failed due to connection issue,44.18,48.75,42.42,DATABASE_FAILURE
Database connection pool exhausted,46.89,42.42,39.83,DATABASE_FAILURE
Database connection timeout error,41.17,46.0,58.24,DATABASE_FAILURE
Database query execution failed due to connection issue,46.63,46.88,37.26,DATABASE_FAILURE
Database server down unable to establish connection,37.58,35.75,33.35,DATABASE_FAILURE
PostgreSQL connection refused,22.33,38.75,36.87,DATABASE_FAILURE
PostgreSQL connection refused,42.78,45.07,21.59,DATABASE_FAILURE
Database query execution failed due to connection issue,33.88,51.72,36.2,DATABASE_FAILURE
Database server down unable to establish connection,21.89,43.66,49.04,DATABASE_FAILURE
PostgreSQL connection refused,21.21,38.11,28.29,DATABASE_FAILURE
Database connection pool exhausted,23.66,36.75,32.72,DATABASE_FAILURE
Database connection timeout error,32.12,30.38,46.18,DATABASE_FAILURE
Database query execution failed due to connection issue,24.53,48.42,37.48,DATABASE_FAILURE
Database query execution failed due to connection issue,42.61,54.56,35.61,DATABASE_FAILURE
Database query execution failed due to connection issue,35.65,36.29,51.48,DATABASE_FAILURE
Database query execution failed due to connection issue,37.84,58.73,36.09,DATABASE_FAILURE
Database connection pool exhausted,48.05,58.98,32.46,DATABASE_FAILURE
Database connection pool exhausted,37.19,30.51,40.79,DATABASE_FAILURE
Database connection timeout error,33.35,50.39,21.74,DATABASE_FAILURE
Database connection pool exhausted,30.32,36.89,22.97,DATABASE_FAILURE
PostgreSQL connection refused,21.61,32.99,59.5,DATABASE_FAILURE
Database server down unable to establish connection,48.6,51.39,44.5,DATABASE_FAILURE
Database server down unable to establish connection,44.34,55.6,43.27,DATABASE_FAILURE
Database server down unable to establish connection,22.86,57.25,46.77,DATABASE_FAILURE
Database connection pool exhausted,29.15,51.01,55.31,DATABASE_FAILURE
Database connection pool exhausted,25.07,58.99,31.55,DATABASE_FAILURE
Database query execution failed due to connection issue,39.03,56.31,58.07,DATABASE_FAILURE
PostgreSQL connection refused,41.38,34.17,39.46,DATABASE_FAILURE
Database connection pool exhausted,26.92,41.38,47.31,DATABASE_FAILURE
Database server down unable to establish connection,38.13,44.13,53.41,DATABASE_FAILURE
Database connection pool exhausted,37.53,32.69,45.07,DATABASE_FAILURE
Database query execution failed due to connection issue,37.85,45.2,46.2,DATABASE_FAILURE
Database server down unable to establish connection,31.9,46.57,54.47,DATABASE_FAILURE
Database server down unable to establish connection,39.28,59.33,31.52,DATABASE_FAILURE
Database server down unable to establish connection,48.37,59.5,38.59,DATABASE_FAILURE
PostgreSQL connection refused,41.47,42.29,28.42,DATABASE_FAILURE
Database query execution failed due to connection issue,20.81,44.86,32.46,DATABASE_FAILURE
Database connection pool exhausted,47.26,56.66,22.43,DATABASE_FAILURE
Database connection timeout error,25.75,47.31,52.29,DATABASE_FAILURE
Database query execution failed due to connection issue,32.22,45.74,33.2,DATABASE_FAILURE
Database connection pool exhausted,26.86,52.21,48.28,DATABASE_FAILURE
PostgreSQL connection refused,25.05,41.36,39.9,DATABASE_FAILURE
Database connection pool exhausted,33.42,58.93,54.76,DATABASE_FAILURE
Database server down unable to establish connection,20.31,50.53,51.75,DATABASE_FAILURE
PostgreSQL connection refused,36.62,46.17,22.25,DATABASE_FAILURE
Database server down unable to establish connection,36.73,30.61,30.68,DATABASE_FAILURE
Database connection pool exhausted,44.45,44.89,35.53,DATABASE_FAILURE
PostgreSQL connection refused,31.53,34.78,33.53,DATABASE_FAILURE
Database server down unable to establish connection,42.06,39.52,47.42,DATABASE_FAILURE
Database query execution failed due to connection issue,21.5,32.67,48.8,DATABASE_FAILURE
Database connection pool exhausted,48.86,38.97,53.45,DATABASE_FAILURE
PostgreSQL connection refused,48.52,46.07,35.19,DATABASE_FAILURE
Database connection timeout error,45.52,53.82,22.83,DATABASE_FAILURE
Database connection pool exhausted,25.81,58.72,27.4,DATABASE_FAILURE
Database query execution failed due to connection issue,41.22,31.31,41.06,DATABASE_FAILURE
PostgreSQL connection refused,32.52,53.51,51.69,DATABASE_FAILURE
PostgreSQL connection refused,44.53,50.18,38.73,DATABASE_FAILURE
Database connection timeout error,42.02,57.69,31.86,DATABASE_FAILURE
Database server down unable to establish connection,27.57,54.31,25.89,DATABASE_FAILURE
Database connection pool exhausted,48.12,46.2,43.9,DATABASE_FAILURE
Database connection pool exhausted,21.48,55.14,25.5,DATABASE_FAILURE
PostgreSQL connection refused,46.79,33.83,23.59,DATABASE_FAILURE
PostgreSQL connection refused,32.8,44.11,41.86,DATABASE_FAILURE
Database query execution failed due to connection issue,27.76,52.03,44.78,DATABASE_FAILURE
PostgreSQL connection refused,46.68,41.99,52.42,DATABASE_FAILURE
Database server down unable to establish connection,27.27,52.04,41.0,DATABASE_FAILURE
Database server down unable to establish connection,32.62,48.68,58.63,DATABASE_FAILURE
Database connection pool exhausted,21.5,32.34,24.9,DATABASE_FAILURE
Database connection timeout error,49.9,56.73,56.99,DATABASE_FAILURE
Database connection timeout error,20.67,54.31,30.43,DATABASE_FAILURE
Database server down unable to establish connection,26.43,38.05,31.53,DATABASE_FAILURE
Database connection pool exhausted,27.91,53.32,40.64,DATABASE_FAILURE
PostgreSQL connection refused,25.06,39.21,23.74,DATABASE_FAILURE
Database connection timeout error,38.78,57.01,44.26,DATABASE_FAILURE
Database server down unable to establish connection,46.69,41.99,21.3,DATABASE_FAILURE
PostgreSQL connection refused,46.46,41.08,59.26,DATABASE_FAILURE
Database connection timeout error,48.31,41.98,36.21,DATABASE_FAILURE
Database connection timeout error,49.39,41.15,33.62,DATABASE_FAILURE
Database query execution failed due to connection issue,41.52,34.59,41.4,DATABASE_FAILURE
Database server down unable to establish connection,46.6,30.06,53.98,DATABASE_FAILURE
Database query execution failed due to connection issue,48.49,33.51,47.61,DATABASE_FAILURE
Database connection timeout error,23.99,54.28,36.85,DATABASE_FAILURE
PostgreSQL connection refused,20.39,53.81,21.32,DATABASE_FAILURE
PostgreSQL connection refused,23.61,48.03,33.08,DATABASE_FAILURE
Database connection pool exhausted,31.51,49.18,25.94,DATABASE_FAILURE
PostgreSQL connection refused,23.9,33.71,36.53,DATABASE_FAILURE
PostgreSQL connection refused,35.2,52.92,25.21,DATABASE_FAILURE
PostgreSQL connection refused,32.3,58.24,20.83,DATABASE_FAILURE
Database server down unable to establish connection,31.96,53.59,47.49,DATABASE_FAILURE
Database server down unable to establish connection,36.32,30.25,26.86,DATABASE_FAILURE
Database connection timeout error,33.39,55.84,41.58,DATABASE_FAILURE
PostgreSQL connection refused,35.08,52.9,53.81,DATABASE_FAILURE
PostgreSQL connection refused,32.65,49.4,41.91,DATABASE_FAILURE
Database connection timeout error,41.84,52.81,29.47,DATABASE_FAILURE
PostgreSQL connection refused,44.65,30.98,50.4,DATABASE_FAILURE
Database connection timeout error,43.5,30.8,41.24,DATABASE_FAILURE
Database connection timeout error,28.33,57.01,28.9,DATABASE_FAILURE
Database query execution failed due to connection issue,33.41,34.11,58.19,DATABASE_FAILURE
Database connection timeout error,31.15,52.77,51.57,DATABASE_FAILURE
Database server down unable to establish connection,28.23,58.36,32.09,DATABASE_FAILURE
PostgreSQL connection refused,29.49,59.59,46.43,DATABASE_FAILURE
Database connection timeout error,37.76,53.26,49.93,DATABASE_FAILURE
Database server down unable to establish connection,42.53,41.03,21.37,DATABASE_FAILURE
PostgreSQL connection refused,34.81,41.48,24.99,DATABASE_FAILURE
Database connection pool exhausted,41.24,41.6,42.18,DATABASE_FAILURE
Database connection timeout error,25.5,33.55,20.97,DATABASE_FAILURE
Database connection timeout error,39.89,37.99,46.0,DATABASE_FAILURE
Database query execution failed due to connection issue,41.2,42.11,59.1,DATABASE_FAILURE
Database query execution failed due to connection issue,27.97,56.66,20.96,DATABASE_FAILURE
Database query execution failed due to connection issue,32.82,47.42,22.01,DATABASE_FAILURE
Database query execution failed due to connection issue,42.36,55.8,56.15,DATABASE_FAILURE
Database query execution failed due to connection issue,21.21,58.97,45.16,DATABASE_FAILURE
Database query execution failed due to connection issue,29.35,33.2,25.12,DATABASE_FAILURE
PostgreSQL connection refused,43.91,53.0,24.23,DATABASE_FAILURE
Database server down unable to establish connection,47.25,53.54,45.13,DATABASE_FAILURE
Database connection timeout error,44.32,54.67,28.46,DATABASE_FAILURE
Database server down unable to establish connection,37.16,43.27,22.94,DATABASE_FAILURE
Database server down unable to establish connection,43.67,47.28,35.24,DATABASE_FAILURE
PostgreSQL connection refused,25.14,50.19,52.65,DATABASE_FAILURE
Database query execution failed due to connection issue,22.41,37.92,53.18,DATABASE_FAILURE
Database query execution failed due to connection issue,44.34,51.95,30.96,DATABASE_FAILURE
PostgreSQL connection refused,47.99,42.82,24.03,DATABASE_FAILURE
PostgreSQL connection refused,30.74,39.73,29.44,DATABASE_FAILURE
PostgreSQL connection refused,43.96,54.18,30.85,DATABASE_FAILURE
Database connection timeout error,41.54,35.33,25.39,DATABASE_FAILURE
Database connection timeout error,45.41,46.16,32.67,DATABASE_FAILURE
Database connection pool exhausted,48.1,32.41,35.36,DATABASE_FAILURE
Database query execution failed due to connection issue,39.11,50.13,50.97,DATABASE_FAILURE
Database server down unable to establish connection,42.91,30.16,49.96,DATABASE_FAILURE
Database connection pool exhausted,23.5,50.72,36.23,DATABASE_FAILURE
PostgreSQL connection refused,39.36,51.31,46.1,DATABASE_FAILURE
Database query execution failed due to connection issue,43.41,56.21,27.11,DATABASE_FAILURE
Database server down unable to establish connection,41.31,49.83,23.13,DATABASE_FAILURE
Database server down unable to establish connection,49.47,54.26,26.31,DATABASE_FAILURE
Database connection timeout error,30.6,39.44,29.09,DATABASE_FAILURE
Database connection pool exhausted,43.12,36.45,45.05,DATABASE_FAILURE
Database connection timeout error,30.89,35.31,32.09,DATABASE_FAILURE
Database server down unable to establish connection,21.58,44.4,28.8,DATABASE_FAILURE
Database connection pool exhausted,24.89,52.59,23.36,DATABASE_FAILURE
Database connection pool exhausted,46.51,31.87,40.12,DATABASE_FAILURE
Database query execution failed due to connection issue,46.56,34.53,48.22,DATABASE_FAILURE
Database connection timeout error,39.76,44.98,30.86,DATABASE_FAILURE
Database connection timeout error,24.26,47.32,39.8,DATABASE_FAILURE
PostgreSQL connection refused,44.41,41.28,50.81,DATABASE_FAILURE
Database connection timeout error,47.44,36.54,54.41,DATABASE_FAILURE
Database server down unable to establish connection,35.8,45.17,29.31,DATABASE_FAILURE
Database server down unable to establish connection,45.73,52.93,41.9,DATABASE_FAILURE
Database connection pool exhausted,40.21,38.88,36.4,DATABASE_FAILURE
Database query execution failed due to connection issue,48.83,55.73,28.18,DATABASE_FAILURE
PostgreSQL connection refused,32.9,47.38,52.23,DATABASE_FAILURE
Database server down unable to establish connection,37.71,39.24,52.82,DATABASE_FAILURE
Database server down unable to establish connection,22.51,37.9,37.21,DATABASE_FAILURE
Database query execution failed due to connection issue,44.14,46.01,36.46,DATABASE_FAILURE
PostgreSQL connection refused,37.31,34.38,49.51,DATABASE_FAILURE
Database server down unable to establish connection,48.51,41.17,52.99,DATABASE_FAILURE
Database connection timeout error,24.34,37.83,25.59,DATABASE_FAILURE
PostgreSQL connection refused,21.01,35.46,40.92,DATABASE_FAILURE
Database connection timeout error,36.33,30.21,32.08,DATABASE_FAILURE
Database server down unable to establish connection,38.25,48.17,28.38,DATABASE_FAILURE
Database connection timeout error,49.56,50.66,54.55,DATABASE_FAILURE
Database server down unable to establish connection,42.41,38.99,47.91,DATABASE_FAILURE
Database connection timeout error,48.43,33.15,34.54,DATABASE_FAILURE
Database server down unable to establish connection,28.12,41.13,37.01,DATABASE_FAILURE
Database connection timeout error,42.9,53.48,33.47,DATABASE_FAILURE
Database connection pool exhausted,41.89,40.45,33.24,DATABASE_FAILURE
Database query execution failed due to connection issue,26.74,50.56,36.76,DATABASE_FAILURE
Database connection pool exhausted,34.39,48.22,30.76,DATABASE_FAILURE
Database query execution failed due to connection issue,44.83,55.28,35.0,DATABASE_FAILURE
Database query execution failed due to connection issue,41.5,38.13,25.62,DATABASE_FAILURE
Database query execution failed due to connection issue,42.18,50.46,38.88,DATABASE_FAILURE
PostgreSQL connection refused,46.88,52.69,27.62,DATABASE_FAILURE
Database server down unable to establish connection,34.37,59.22,38.18,DATABASE_FAILURE
Database query execution failed due to connection issue,40.67,51.81,33.47,DATABASE_FAILURE
Database server down unable to establish connection,23.76,54.1,55.79,DATABASE_FAILURE
Database query execution failed due to connection issue,48.48,43.45,39.26,DATABASE_FAILURE
Database query execution failed due to connection issue,43.05,38.31,36.96,DATABASE_FAILURE
Database query execution failed due to connection issue,22.44,59.27,23.66,DATABASE_FAILURE
Database query execution failed due to connection issue,29.49,50.15,55.69,DATABASE_FAILURE
Database connection pool exhausted,49.52,37.19,37.8,DATABASE_FAILURE
Database server down unable to establish connection,21.07,35.76,52.83,DATABASE_FAILURE
Database server down unable to establish connection,22.99,35.85,35.19,DATABASE_FAILURE
Database server down unable to establish connection,29.13,45.77,47.94,DATABASE_FAILURE
Database connection timeout error,41.9,44.87,37.79,DATABASE_FAILURE
Database connection pool exhausted,32.42,36.62,36.16,DATABASE_FAILURE
Database connection timeout error,47.41,46.96,27.25,DATABASE_FAILURE
Database server down unable to establish connection,27.41,39.43,20.31,DATABASE_FAILURE
Database connection timeout error,43.64,49.41,23.01,DATABASE_FAILURE
Database connection timeout error,32.96,46.34,24.17,DATABASE_FAILURE
PostgreSQL connection refused,23.59,35.43,32.9,DATABASE_FAILURE
Database connection timeout error,42.67,52.09,37.1,DATABASE_FAILURE
Database connection pool exhausted,42.95,59.04,23.02,DATABASE_FAILURE
Database connection pool exhausted,38.49,56.88,53.7,DATABASE_FAILURE
PostgreSQL connection refused,21.74,47.08,54.49,DATABASE_FAILURE
Database connection pool exhausted,36.94,39.98,32.24,DATABASE_FAILURE
Database server down unable to establish connection,42.12,51.55,51.28,DATABASE_FAILURE
PostgreSQL connection refused,27.87,33.21,36.1,DATABASE_FAILURE
Database server down unable to establish connection,40.52,59.28,53.46,DATABASE_FAILURE
Database connection timeout error,39.66,44.05,20.14,DATABASE_FAILURE
Database connection pool exhausted,31.29,30.89,56.28,DATABASE_FAILURE
Database server down unable to establish connection,47.91,58.61,23.39,DATABASE_FAILURE
PostgreSQL connection refused,22.74,55.85,32.61,DATABASE_FAILURE
Database connection pool exhausted,39.49,35.47,58.14,DATABASE_FAILURE
Database connection pool exhausted,25.57,44.7,28.36,DATABASE_FAILURE
Database query execution failed due to connection issue,38.21,57.84,54.51,DATABASE_FAILURE
Database server down unable to establish connection,49.96,50.0,22.76,DATABASE_FAILURE
PostgreSQL connection refused,41.55,39.31,43.46,DATABASE_FAILURE
Database connection pool exhausted,44.83,34.99,20.79,DATABASE_FAILURE
Database connection pool exhausted,43.4,41.75,28.69,DATABASE_FAILURE
Database connection pool exhausted,24.93,38.79,40.59,DATABASE_FAILURE
PostgreSQL connection refused,48.58,31.57,57.5,DATABASE_FAILURE
Database server down unable to establish connection,33.35,31.41,27.89,DATABASE_FAILURE
PostgreSQL connection refused,28.05,43.75,32.36,DATABASE_FAILURE
Database connection timeout error,22.64,37.72,34.63,DATABASE_FAILURE
Database connection pool exhausted,34.3,42.03,53.95,DATABASE_FAILURE
PostgreSQL connection refused,33.51,38.65,52.98,DATABASE_FAILURE
PostgreSQL connection refused,40.34,51.69,32.76,DATABASE_FAILURE
Database connection timeout error,48.99,30.21,41.68,DATABASE_FAILURE
Database connection pool exhausted,36.04,32.94,56.31,DATABASE_FAILURE
Database query execution failed due to connection issue,26.48,45.68,27.56,DATABASE_FAILURE
PostgreSQL connection refused,28.48,44.17,34.15,DATABASE_FAILURE
Database query execution failed due to connection issue,23.74,31.29,21.47,DATABASE_FAILURE
Database query execution failed due to connection issue,38.33,41.29,35.32,DATABASE_FAILURE
Database connection pool exhausted,27.78,48.04,29.58,DATABASE_FAILURE
Database query execution failed due to connection issue,49.4,51.34,51.32,DATABASE_FAILURE
PostgreSQL connection refused,48.47,37.69,24.93,DATABASE_FAILURE
Database query execution failed due to connection issue,25.37,59.72,47.39,DATABASE_FAILURE
Database server down unable to establish connection,40.09,52.5,53.28,DATABASE_FAILURE
Database connection pool exhausted,46.53,38.64,43.42,DATABASE_FAILURE
PostgreSQL connection refused,45.1,40.27,34.97,DATABASE_FAILURE
Database query execution failed due to connection issue,44.41,41.42,51.52,DATABASE_FAILURE
PostgreSQL connection refused,24.28,35.42,25.93,DATABASE_FAILURE
PostgreSQL connection refused,20.39,41.55,51.49,DATABASE_FAILURE
PostgreSQL connection refused,33.57,40.39,50.96,DATABASE_FAILURE
Database query execution failed due to connection issue,43.2,38.7,52.15,DATABASE_FAILURE
Database connection pool exhausted,47.21,42.69,56.57,DATABASE_FAILURE
Database server down unable to establish connection,48.04,59.63,32.08,DATABASE_FAILURE
Database server down unable to establish connection,27.87,58.83,50.92,DATABASE_FAILURE
Database server down unable to establish connection,23.61,57.91,55.13,DATABASE_FAILURE
Database server down unable to establish connection,46.43,40.05,29.03,DATABASE_FAILURE
Database connection timeout error,26.28,57.85,52.79,DATABASE_FAILURE
Database connection pool exhausted,41.21,40.21,39.65,DATABASE_FAILURE
Database query execution failed due to connection issue,32.01,46.77,20.87,DATABASE_FAILURE
PostgreSQL connection refused,25.26,37.4,23.07,DATABASE_FAILURE
Database query execution failed due to connection issue,40.16,52.64,21.06,DATABASE_FAILURE
PostgreSQL connection refused,38.17,47.91,21.1,DATABASE_FAILURE
Database query execution failed due to connection issue,37.34,44.95,27.84,DATABASE_FAILURE
Database query execution failed due to connection issue,25.45,44.37,46.67,DATABASE_FAILURE
Database connection pool exhausted,38.36,46.32,48.16,DATABASE_FAILURE
Database connection pool exhausted,22.38,34.84,33.92,DATABASE_FAILURE
Database server down unable to establish connection,34.08,56.85,47.52,DATABASE_FAILURE
Database query execution failed due to connection issue,26.0,43.66,31.93,DATABASE_FAILURE
Database connection pool exhausted,25.23,55.74,41.27,DATABASE_FAILURE
Database connection timeout error,30.3,36.49,42.15,DATABASE_FAILURE
Database connection timeout error,20.69,30.21,26.69,DATABASE_FAILURE
Database connection pool exhausted,30.61,58.79,32.42,DATABASE_FAILURE
PostgreSQL connection refused,33.09,37.48,28.23,DATABASE_FAILURE
PostgreSQL connection refused,48.91,47.12,35.68,DATABASE_FAILURE
PostgreSQL connection refused,23.75,44.81,45.27,DATABASE_FAILURE
Database connection timeout error,28.23,58.46,49.83,DATABASE_FAILURE
Database connection pool exhausted,44.63,46.56,35.13,DATABASE_FAILURE
Database connection timeout error,45.07,35.32,25.61,DATABASE_FAILURE
Database connection timeout error,48.74,52.64,53.45,DATABASE_FAILURE
Database server down unable to establish connection,41.29,40.53,43.34,DATABASE_FAILURE
Database server down unable to establish connection,27.08,36.95,39.03,DATABASE_FAILURE
Database connection pool exhausted,20.91,57.48,36.6,DATABASE_FAILURE
PostgreSQL connection refused,33.8,45.16,43.21,DATABASE_FAILURE
Database server down unable to establish connection,20.41,43.72,23.7,DATABASE_FAILURE
Database connection pool exhausted,22.38,36.12,32.56,DATABASE_FAILURE
Database query execution failed due to connection issue,25.27,48.46,36.38,DATABASE_FAILURE
Database connection pool exhausted,38.0,58.93,33.36,DATABASE_FAILURE
Database connection timeout error,35.59,46.69,32.52,DATABASE_FAILURE
Database connection pool exhausted,35.49,46.92,42.59,DATABASE_FAILURE
Database server down unable to establish connection,29.2,50.25,45.35,DATABASE_FAILURE
Database query execution failed due to connection issue,24.76,39.04,51.11,DATABASE_FAILURE
Database connection timeout error,32.76,30.75,22.48,DATABASE_FAILURE
Database server down unable to establish connection,29.28,31.42,36.84,DATABASE_FAILURE
Database connection timeout error,49.54,33.07,26.68,DATABASE_FAILURE
Database server down unable to establish connection,41.54,39.78,40.28,DATABASE_FAILURE
Database connection pool exhausted,38.43,34.15,22.68,DATABASE_FAILURE
Database connection pool exhausted,21.39,50.22,20.53,DATABASE_FAILURE
PostgreSQL connection refused,26.47,42.31,50.38,DATABASE_FAILURE
Database query execution failed due to connection issue,32.32,36.52,56.33,DATABASE_FAILURE
Database server down unable to establish connection,42.51,36.75,30.21,DATABASE_FAILURE
Database query execution failed due to connection issue,26.84,57.63,49.75,DATABASE_FAILURE
Database connection timeout error,47.86,50.26,28.36,DATABASE_FAILURE
PostgreSQL connection refused,32.21,47.75,51.32,DATABASE_FAILURE
Database connection pool exhausted,39.11,59.99,48.2,DATABASE_FAILURE
Database query execution failed due to connection issue,34.8,54.52,28.71,DATABASE_FAILURE
PostgreSQL connection refused,20.39,55.01,24.16,DATABASE_FAILURE
PostgreSQL connection refused,45.23,56.46,59.19,DATABASE_FAILURE
PostgreSQL connection refused,22.14,53.18,38.45,DATABASE_FAILURE
Database connection timeout error,33.78,39.69,36.67,DATABASE_FAILURE
Database server down unable to establish connection,49.15,56.54,32.47,DATABASE_FAILURE
Database connection timeout error,40.99,35.57,47.43,DATABASE_FAILURE
PostgreSQL connection refused,40.38,52.23,40.5,DATABASE_FAILURE
Database server down unable to establish connection,46.27,39.54,44.08,DATABASE_FAILURE
Database connection timeout error,46.74,32.16,34.19,DATABASE_FAILURE
Database server down unable to establish connection,37.67,48.62,49.64,DATABASE_FAILURE
Database server down unable to establish connection,44.23,36.64,47.8,DATABASE_FAILURE
Database server down unable to establish connection,20.16,55.49,40.96,DATABASE_FAILURE
Database connection pool exhausted,27.28,32.35,20.5,DATABASE_FAILURE
Database server down unable to establish connection,25.51,31.81,48.03,DATABASE_FAILURE
Database connection timeout error,38.19,38.13,47.68,DATABASE_FAILURE
PostgreSQL connection refused,30.69,51.18,53.1,DATABASE_FAILURE
Database connection timeout error,29.17,42.92,57.28,DATABASE_FAILURE
Database query execution failed due to connection issue,46.75,39.32,30.63,DATABASE_FAILURE
Database server down unable to establish connection,23.73,35.77,38.52,DATABASE_FAILURE
Database connection pool exhausted,28.07,51.02,23.78,DATABASE_FAILURE
Database server down unable to establish connection,33.7,46.4,25.25,DATABASE_FAILURE
Database connection pool exhausted,25.81,50.25,52.89,DATABASE_FAILURE
Database connection timeout error,37.76,35.46,58.0,DATABASE_FAILURE
Database server down unable to establish connection,49.33,59.84,31.5,DATABASE_FAILURE
Database server down unable to establish connection,37.31,34.42,54.44,DATABASE_FAILURE
Database query execution failed due to connection issue,20.65,58.97,36.93,DATABASE_FAILURE
Database connection pool exhausted,49.13,33.36,42.35,DATABASE_FAILURE
Database connection pool exhausted,41.65,41.91,54.46,DATABASE_FAILURE
PostgreSQL connection refused,47.54,52.21,33.26,DATABASE_FAILURE
Database server down unable to establish connection,44.17,35.05,50.2,DATABASE_FAILURE
Database connection pool exhausted,39.22,48.67,23.49,DATABASE_FAILURE
Database server down unable to establish connection,29.55,39.89,28.27,DATABASE_FAILURE
Database server down unable to establish connection,33.44,33.58,36.56,DATABASE_FAILURE
Database connection timeout error,45.76,51.22,39.87,DATABASE_FAILURE
Database query execution failed due to connection issue,43.65,35.59,31.61,DATABASE_FAILURE
Database connection timeout error,48.69,50.7,58.59,DATABASE_FAILURE
Database connection pool exhausted,25.31,50.33,39.44,DATABASE_FAILURE
Database server down unable to establish connection,31.15,51.2,56.12,DATABASE_FAILURE
Database connection timeout error,39.76,46.81,23.58,DATABASE_FAILURE
Database connection timeout error,40.47,45.47,59.78,DATABASE_FAILURE
Database server down unable to establish connection,31.59,54.0,47.29,DATABASE_FAILURE
Database server down unable to establish connection,21.38,42.42,29.51,DATABASE_FAILURE
Database connection timeout error,23.28,41.22,28.5,DATABASE_FAILURE
PostgreSQL connection refused,22.24,33.59,34.96,DATABASE_FAILURE
PostgreSQL connection refused,23.64,51.33,59.72,DATABASE_FAILURE
Database query execution failed due to connection issue,25.36,30.56,37.75,DATABASE_FAILURE
Database server down unable to establish connection,49.76,57.89,56.83,DATABASE_FAILURE
Database server down unable to establish connection,24.3,41.88,23.93,DATABASE_FAILURE
Database connection pool exhausted,37.47,56.01,59.9,DATABASE_FAILURE
Database connection timeout error,38.29,31.03,42.51,DATABASE_FAILURE
Database connection timeout error,47.29,58.98,57.88,DATABASE_FAILURE
Database query execution failed due to connection issue,48.34,31.3,49.96,DATABASE_FAILURE
Database connection timeout error,44.37,48.71,31.36,DATABASE_FAILURE
Database connection pool exhausted,32.86,42.87,39.11,DATABASE_FAILURE
Database connection timeout error,41.02,39.94,26.59,DATABASE_FAILURE
PostgreSQL connection refused,32.21,45.83,26.76,DATABASE_FAILURE
PostgreSQL connection refused,46.92,44.8,26.0,DATABASE_FAILURE
